Date;Area Name;Electric;Plug-In Hybrid*;Hybrid;All Hybrids;Gas;Diesel;Electric: Difference;Plug-In Hybrid*: Difference;Hybrid: Difference;All Hybrids: Difference;Gas: Difference;Diesel: Difference;Year;Month
2024-11-30 00:00:00;Alamance County;775.0;248.0;3859.0;4107.0;139186.0;7415.0;33.0;2.0;71.0;73.0;443.0;582.0;2024;11
2024-12-31 00:00:00;Davidson County;487.0;173.0;2990.0;3163.0;146096.0;9621.0;22.0;1.0;31.0;32.0;-649.0;-11851.0;2024;12
2024-02-28 00:00:00;Union County;2508.0;565.0;4918.0;5483.0;191190.0;14169.0;55.0;21.0;103.0;124.0;309.0;62.0;2024;02
2024-03-31 00:00:00;Cabarrus County;1980.0;388.0;4127.0;4515.0;167416.0;10073.0;45.0;4.0;55.0;59.0;690.0;5.0;2024;03
2024-05-31 00:00:00;Montgomery County;63.0;23.0;359.0;382.0;23945.0;1912.0;2.0;-1.0;10.0;9.0;50.0;3.0;2024;05
2024-05-31 00:00:00;Rutherford County;127.0;64.0;946.0;1010.0;57727.0;4382.0;7.0;1.0;18.0;19.0;138.0;28.0;2024;05
2024-05-31 00:00:00;Transylvania County;205.0;87.0;913.0;1000.0;27629.0;2468.0;-4.0;-1.0;22.0;21.0;82.0;-4.0;2024;05
2024-05-31 00:00:00;Warren County;34.0;24.0;239.0;263.0;16761.0;1107.0;1.0;1.0;10.0;11.0;-16.0;23.0;2024;05
2024-06-30 00:00:00;Dare County;241.0;113.0;853.0;966.0;36760.0;2977.0;11.0;1.0;-1.0;0.0;50.0;8.0;2024;06
2024-06-30 00:00:00;Gaston County;926.0;311.0;3107.0;3418.0;164921.0;8811.0;33.0;9.0;40.0;49.0;-195.0;18.0;2024;06
2024-06-30 00:00:00;Randolph County;321.0;125.0;2053.0;2178.0;123866.0;9985.0;15.0;0.0;27.0;27.0;-201.0;6.0;2024;06
2024-08-31 00:00:00;Duplin County;43.0;28.0;477.0;505.0;46143.0;4279.0;0.0;-1.0;16.0;15.0;116.0;17.0;2024;08
2024-08-31 00:00:00;Macon County;173.0;73.0;621.0;694.0;34168.0;3225.0;3.0;2.0;18.0;20.0;201.0;40.0;2024;08
2024-08-31 00:00:00;Sampson County;60.0;27.0;514.0;541.0;54816.0;5261.0;4.0;1.0;6.0;7.0;105.0;59.0;2024;08
2024-08-31 00:00:00;Surry County;153.0;60.0;1015.0;1075.0;70061.0;11399.0;9.0;1.0;23.0;24.0;177.0;98.0;2024;08
2024-09-30 00:00:00;Mecklenburg County;14609.0;4391.0;26213.0;30604.0;748013.0;35950.0;244.0;-4.0;687.0;683.0;-2724.0;47.0;2024;09
2024-09-30 00:00:00;Rowan County;463.0;146.0;1967.0;2113.0;116992.0;10717.0;7.0;-5.0;25.0;20.0;-132.0;10.0;2024;09
2024-10-31 00:00:00;Durham County;4195.0;1408.0;12403.0;13811.0;195246.0;5979.0;102.0;26.0;227.0;253.0;-261.0;40.0;2024;10
2024-10-31 00:00:00;Person County;82.0;47.0;635.0;682.0;38618.0;2402.0;3.0;2.0;6.0;8.0;39.0;11.0;2024;10
2024-11-30 00:00:00;Mecklenburg County;13735.0;4710.0;31929.0;36639.0;742560.0;32793.0;208.0;49.0;694.0;743.0;3863.0;6139.0;2024;11
2024-12-31 00:00:00;Lincoln County;523.0;191.0;1936.0;2127.0;79576.0;5629.0;19.0;2.0;49.0;51.0;-383.0;-241.0;2024;12
2024-12-31 00:00:00;Chatham County;1460.0;495.0;3949.0;4444.0;68213.0;4336.0;32.0;6.0;69.0;75.0;-266.0;-281.0;2024;12
2024-12-31 00:00:00;Camden County;35.0;14.0;258.0;272.0;10046.0;856.0;1.0;-1.0;0.0;-1.0;7.0;-37.0;2024;12
2024-02-28 00:00:00;Moore County;675.0;305.0;2867.0;3172.0;88993.0;5998.0;16.0;12.0;57.0;69.0;132.0;-8301.0;2024;02
2024-04-30 00:00:00;Johnston County;970.0;314.0;3804.0;4118.0;175926.0;11316.0;21.0;7.0;113.0;120.0;195.0;50.0;2024;04
2024-04-30 00:00:00;Scotland County;33.0;12.0;304.0;316.0;23857.0;1068.0;1.0;0.0;8.0;8.0;-86.0;4.0;2024;04
2024-04-30 00:00:00;Swain County;43.0;21.0;222.0;243.0;14103.0;1481.0;0.0;1.0;-1.0;0.0;-83.0;-12.0;2024;04
2024-04-30 00:00:00;Transylvania County;209.0;88.0;891.0;979.0;27547.0;2472.0;-3.0;1.0;-2.0;-1.0;-29.0;11.0;2024;04
2024-05-31 00:00:00;Yadkin County;68.0;33.0;477.0;510.0;36562.0;3554.0;2.0;2.0;4.0;6.0;-4.0;25.0;2024;05
2024-06-30 00:00:00;Burke County;197.0;91.0;1205.0;1296.0;74925.0;4857.0;5.0;1.0;1.0;2.0;-183.0;27.0;2024;06
2024-07-31 00:00:00;Iredell County;1351.0;409.0;3701.0;4110.0;158698.0;11664.0;63.0;12.0;55.0;67.0;64.0;-15.0;2024;07
2024-07-31 00:00:00;Rockingham County;156.0;74.0;1095.0;1169.0;80767.0;5396.0;5.0;1.0;13.0;14.0;-17.0;75.0;2024;07
2024-08-31 00:00:00;Caldwell County;171.0;90.0;1108.0;1198.0;71839.0;5596.0;6.0;1.0;20.0;21.0;157.0;34.0;2024;08
2024-08-31 00:00:00;Craven County;323.0;142.0;2068.0;2210.0;82160.0;4634.0;9.0;2.0;55.0;57.0;208.0;15.0;2024;08
2024-08-31 00:00:00;Tyrrell County;1.0;2.0;40.0;42.0;2785.0;363.0;0.0;1.0;1.0;2.0;-4.0;3.0;2024;08
2024-09-30 00:00:00;Bertie County;18.0;4.0;148.0;152.0;15441.0;1311.0;0.0;-1.0;2.0;1.0;-55.0;-8.0;2024;09
2024-10-31 00:00:00;Perquimans County;31.0;16.0;256.0;272.0;12310.0;915.0;2.0;0.0;5.0;5.0;55.0;52.0;2024;10
2024-12-31 00:00:00;Surry County;148.0;52.0;1166.0;1218.0;66656.0;6572.0;0.0;1.0;-52.0;-51.0;-3815.0;-4320.0;2024;12
2024-12-31 00:00:00;Lenoir County;87.0;31.0;716.0;747.0;44304.0;4268.0;-1.0;-3.0;7.0;4.0;-270.0;-132.0;2024;12
2024-12-31 00:00:00;Cleveland County;183.0;82.0;1262.0;1344.0;83053.0;5012.0;10.0;4.0;32.0;36.0;-267.0;-332.0;2024;12
2024-12-31 00:00:00;Catawba County;694.0;267.0;3287.0;3554.0;142058.0;9062.0;18.0;2.0;37.0;39.0;-378.0;-934.0;2024;12
2022-12-31 00:00:00;Caldwell County;94.0;60.0;816.0;876.0;71249.0;5341.0;7.0;-3.0;4.0;1.0;-79.0;8.0;2022;12
2022-12-31 00:00:00;Mitchell County;22.0;11.0;159.0;170.0;14652.0;1205.0;-1.0;0.0;-3.0;-3.0;-22.0;10.0;2022;12
2022-11-30 00:00:00;Chatham County;751.0;287.0;2583.0;2870.0;66039.0;4567.0;18.0;9.0;21.0;30.0;-144.0;-20.0;2022;11
2026-01-31 00:00:00;Alamance County;1146.0;313.0;5081.0;5394.0;137354.0;7240.0;12.0;4.0;92.0;96.0;-455.0;7.0;2026;01
2026-01-31 00:00:00;Alexander County;143.0;44.0;722.0;766.0;34346.0;2742.0;-2.0;-1.0;14.0;13.0;-214.0;-4.0;2026;01
2026-01-31 00:00:00;Anson County;31.0;13.0;257.0;270.0;18434.0;1403.0;0.0;2.0;3.0;5.0;-66.0;14.0;2026;01
2026-01-31 00:00:00;Davie County;290.0;82.0;1401.0;1483.0;41147.0;3395.0;-2.0;-2.0;32.0;30.0;-118.0;17.0;2026;01
2026-01-31 00:00:00;Hertford County;27.0;15.0;240.0;255.0;16820.0;1033.0;-2.0;0.0;6.0;6.0;-32.0;-61.0;2026;01
2026-01-31 00:00:00;Hyde County;6.0;4.0;56.0;60.0;3973.0;554.0;1.0;0.0;2.0;2.0;-6.0;1.0;2026;01
2026-01-31 00:00:00;Jackson County;196.0;91.0;1137.0;1228.0;30294.0;2579.0;7.0;-2.0;23.0;21.0;-196.0;-14.0;2026;01
2026-01-31 00:00:00;Pamlico County;58.0;22.0;330.0;352.0;11739.0;990.0;-3.0;0.0;5.0;5.0;-91.0;11.0;2026;01
2026-01-31 00:00:00;Rutherford County;185.0;80.0;1353.0;1433.0;56957.0;4119.0;5.0;1.0;27.0;28.0;3.0;-34.0;2026;01
2026-01-31 00:00:00;Wilson County;241.0;76.0;1591.0;1667.0;63102.0;3920.0;4.0;0.0;2.0;2.0;-243.0;-48.0;2026;01
2026-02-28 00:00:00;Ashe County;86.0;50.0;726.0;776.0;25652.0;2616.0;-2.0;-3.0;11.0;8.0;-105.0;-40.0;2026;02
2026-02-28 00:00:00;Burke County;292.0;120.0;1820.0;1940.0;74660.0;4736.0;-7.0;1.0;21.0;22.0;-66.0;-31.0;2026;02
2026-02-28 00:00:00;Caldwell County;272.0;117.0;1586.0;1703.0;69702.0;4872.0;7.0;3.0;25.0;28.0;-260.0;42.0;2026;02
2026-02-28 00:00:00;Clay County;43.0;35.0;338.0;373.0;11218.0;958.0;2.0;2.0;5.0;7.0;-23.0;-5.0;2026;02
2026-02-28 00:00:00;Craven County;513.0;178.0;3013.0;3191.0;82248.0;4602.0;11.0;2.0;45.0;47.0;-213.0;-13.0;2026;02
2026-02-28 00:00:00;Davidson County;720.0;208.0;3947.0;4155.0;144456.0;10075.0;2.0;1.0;48.0;49.0;-348.0;-12.0;2026;02
2026-02-28 00:00:00;Graham County;14.0;11.0;122.0;133.0;6987.0;862.0;0.0;0.0;1.0;1.0;-42.0;25.0;2026;02
2026-02-28 00:00:00;Haywood County;321.0;131.0;1849.0;1980.0;53119.0;4208.0;2.0;-1.0;23.0;22.0;-161.0;-2.0;2026;02
2026-02-28 00:00:00;Macon County;213.0;104.0;992.0;1096.0;34035.0;3087.0;6.0;3.0;31.0;34.0;-105.0;-3.0;2026;02
2026-02-28 00:00:00;New Hanover County;2034.0;951.0;9025.0;9976.0;162474.0;7354.0;-1.0;4.0;147.0;151.0;-664.0;-9.0;2026;02
2026-02-28 00:00:00;Pender County;385.0;168.0;2022.0;2190.0;57404.0;3981.0;3.0;3.0;30.0;33.0;-24.0;-5.0;2026;02
2026-02-28 00:00:00;Stokes County;132.0;38.0;882.0;920.0;44789.0;3330.0;1.0;0.0;16.0;16.0;-100.0;-48.0;2026;02
2026-02-28 00:00:00;Tyrrell County;5.0;3.0;62.0;65.0;2901.0;326.0;0.0;1.0;5.0;6.0;-3.0;-4.0;2026;02
2026-02-28 00:00:00;Yadkin County;102.0;44.0;736.0;780.0;36720.0;3272.0;3.0;-2.0;5.0;3.0;-100.0;10.0;2026;02
2026-03-31 00:00:00;Avery County;82.0;37.0;475.0;512.0;15601.0;1757.0;-1.0;-1.0;7.0;6.0;55.0;13.0;2026;03
2026-03-31 00:00:00;Caswell County;39.0;16.0;381.0;397.0;21052.0;1406.0;-1.0;-2.0;13.0;11.0;93.0;8.0;2026;03
2026-03-31 00:00:00;Catawba County;987.0;320.0;4556.0;4876.0;141325.0;9701.0;19.0;9.0;117.0;126.0;429.0;35.0;2026;03
2026-03-31 00:00:00;Cumberland County;1661.0;546.0;7652.0;8198.0;206530.0;8290.0;38.0;-2.0;174.0;172.0;1643.0;26.0;2026;03
2026-03-31 00:00:00;Dare County;317.0;139.0;1365.0;1504.0;37260.0;2782.0;1.0;-3.0;29.0;26.0;191.0;7.0;2026;03
2026-03-31 00:00:00;Durham County;5717.0;1846.0;16256.0;18102.0;189675.0;5657.0;118.0;17.0;239.0;256.0;837.0;21.0;2026;03
2026-03-31 00:00:00;Harnett County;925.0;270.0;3620.0;3890.0;107675.0;6558.0;18.0;9.0;82.0;91.0;729.0;48.0;2026;03
2026-03-31 00:00:00;Iredell County;2074.0;611.0;7047.0;7658.0;162288.0;10522.0;50.0;-2.0;198.0;196.0;1077.0;-45.0;2026;03
2026-03-31 00:00:00;Jones County;25.0;15.0;167.0;182.0;8499.0;754.0;1.0;1.0;2.0;3.0;15.0;18.0;2026;03
2026-03-31 00:00:00;Martin County;28.0;15.0;346.0;361.0;19370.0;1018.0;-1.0;0.0;6.0;6.0;151.0;-4.0;2026;03
2026-03-31 00:00:00;Nash County;349.0;94.0;1991.0;2085.0;81865.0;4990.0;15.0;-3.0;60.0;57.0;716.0;73.0;2026;03
2026-03-31 00:00:00;Pasquotank County;132.0;61.0;918.0;979.0;31501.0;1966.0;4.0;-2.0;20.0;18.0;202.0;28.0;2026;03
2026-03-31 00:00:00;Richmond County;98.0;25.0;660.0;685.0;34409.0;2015.0;-2.0;-1.0;13.0;12.0;270.0;2.0;2026;03
2026-03-31 00:00:00;Scotland County;47.0;24.0;533.0;557.0;24110.0;913.0;1.0;1.0;24.0;25.0;139.0;9.0;2026;03
2026-03-31 00:00:00;Surry County;197.0;78.0;1529.0;1607.0;65740.0;6306.0;-4.0;5.0;40.0;45.0;269.0;26.0;2026;03
2026-03-31 00:00:00;Vance County;108.0;32.0;757.0;789.0;34644.0;1651.0;1.0;1.0;22.0;23.0;267.0;5.0;2026;03
